nodeID
HBATH00102
HBATH00103
HBATH00203
FDEPT00201
DDEPT00102
BDEPT00102
BDEPT00502
HDEPT00102
IDEPT00203
FDEPT00601
BDEPT00402
BDEPT00302
FDEPT00301
IDEPT00703
ADEPT00102
EDEPT00401
FDEPT00401
FSERV00401
IDEPT00503
GDEPT01403
FINFO00101
AINFO0020G
BINFO00102
IREST00103
BREST00102
IREST00203
BREST00202
IREST00303
BREST00302
IREST00403
BREST00402
IREST00503
BREST00502
DREST00102
DREST00202
DREST00302
DREST00402
EREST00201
EREST00101
CREST004L1
EREST00301
CREST003L1
CREST001L2
CREST001L1
CREST002L2
CREST002L1
GREST01203
GREST03102
GREST004L2
GREST00602
AREST00103
AREST00101
FRETL00201
ARETL00101
BRETL00102
HRETL00102
HRETL00302
DRETL00102
GSERV02301
CSERV001L2
BSERV00102
FSERV00101
